Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
yale,15,5,7,3,ohiostate,12,4,2,6,2024-01-21,upenn
princeton,15,2,7,6,notredame,12,7,2,3,2024-01-21,upenn
duke,17,7,4,6,pennstate,10,2,5,3,2024-01-21,upenn
upenn,19,4,6,9,ohiostate,8,5,3,0,2024-01-21,upenn
temple,16,7,4,5,columbia,11,2,5,4,2024-01-21,upenn
pennstate,16,3,5,8,yale,11,6,4,1,2024-01-21,upenn
duke,16,6,4,6,princeton,11,3,5,3,2024-01-21,upenn
notredame,16,6,5,5,stjohns,11,3,4,4,2024-01-21,upenn
upenn,16,4,5,7,notredame,11,5,4,2,2024-01-21,upenn
northwestern,26,9,8,9,drew,1,0,1,0,2024-01-21,upenn
columbia,22,6,7,9,nyu,5,3,2,0,2024-01-21,upenn
stjohns,14,3,7,4,ohiostate,13,6,2,5,2024-01-21,upenn
duke,16,5,5,6,yale,11,4,4,3,2024-01-21,upenn
stjohns,15,4,8,3,upenn,12,5,1,6,2024-01-21,upenn
northwestern,22,8,6,8,njit,5,1,3,1,2024-01-21,upenn
yale,14,3,8,3,temple,13,6,1,6,2024-01-21,upenn
ohiostate,15,9,4,2,princeton,12,0,5,7,2024-01-21,upenn
notredame,15,5,7,3,columbia,12,4,2,6,2024-01-21,upenn
duke,22,9,5,8,drew,5,0,4,1,2024-01-21,upenn
upenn,18,4,7,7,temple,9,5,2,2,2024-01-21,upenn
columbia,23,8,6,9,drew,4,1,3,0,2024-01-21,upenn
pennstate,14,7,4,3,princeton,13,2,5,6,2024-01-21,upenn
yale,15,5,6,4,northwestern,12,4,3,5,2024-01-21,upenn
stjohns,17,5,6,6,nyu,10,4,3,3,2024-01-21,upenn
stjohns,15,6,4,5,njit,11,3,5,3,2024-01-21,upenn
stjohns,15,6,4,5,njit,12,3,5,4,2024-01-21,upenn
princeton,14,1,4,9,yale,13,8,5,0,2024-01-21,upenn
nyu,16,5,4,7,drew,11,4,5,2,2024-01-21,upenn
vassar,20,6,7,7,hunter,7,3,2,2,2024-01-21,vassar
hunter,22,9,8,5,yeshiva,5,0,1,4,2024-01-21,vassar
hunter,21,8,6,7,ccny,6,1,3,2,2024-01-21,vassar
vassar,27,9,9,9,yeshiva,0,0,0,0,2024-01-21,vassar
yeshiva,13,1,7,5,ccny,12,7,2,3,2024-01-21,vassar
vassar,27,9,9,9,ccny,0,0,0,0,2024-01-21,vassar
wagner,20,6,9,5,haverford,7,3,0,4,2024-01-20,upenn
unc,24,9,9,6,shu,3,0,0,3,2024-01-20,upenn
